forecast_type,forecast_effective,forecast_expires,location_id,date,start_time,end_time,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-04-01T15:11:17Z,2025-04-01T16:11:12Z,164,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,4.840000000000003,16,mph,N
hourly,2025-04-01T15:11:17Z,2025-04-01T16:11:12Z,164,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,7.229999999999997,8,mph,NE
hourly,2025-04-01T15:11:17Z,2025-04-01T16:11:12Z,164,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,6.280000000000001,14,mph,NW
hourly,2025-04-01T15:11:17Z,2025-04-01T16:11:12Z,164,2025-04-05,2025-04-05T22:00:00Z,2025-04-05T23:00:00Z,9.280000000000001,14,mph,NW
hourly,2025-04-01T15:11:17Z,2025-04-01T16:11:12Z,164,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,9.990000000000002,10,mph,N
hourly,2025-04-01T15:11:18Z,2025-04-01T16:11:18Z,138,2025-04-02,2025-04-02T22:00:00Z,2025-04-02T23:00:00Z,4.840000000000003,17,mph,N
hourly,2025-04-01T15:11:18Z,2025-04-01T16:11:18Z,138,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,7.060000000000002,12,mph,N
hourly,2025-04-01T15:11:18Z,2025-04-01T16:11:18Z,138,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,6.280000000000001,17,mph,N
hourly,2025-04-01T15:11:18Z,2025-04-01T16:11:18Z,138,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,8.579999999999998,17,mph,NW
hourly,2025-04-01T15:11:18Z,2025-04-01T16:11:18Z,138,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,9.619999999999997,12,mph,N
hourly,2025-04-01T15:11:26Z,2025-04-01T16:11:26Z,161,2025-04-02,2025-04-02T11:00:00Z,2025-04-02T12:00:00Z,0.5599999999999987,22,mph,ENE
hourly,2025-04-01T15:11:26Z,2025-04-01T16:11:26Z,161,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,2.8200000000000003,8,mph,W
hourly,2025-04-01T15:11:26Z,2025-04-01T16:11:26Z,161,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,3.8500000000000014,13,mph,WNW
hourly,2025-04-01T15:11:26Z,2025-04-01T16:11:26Z,161,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.770000000000003,22,mph,NW
hourly,2025-04-01T15:11:26Z,2025-04-01T16:11:26Z,161,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.91,22,mph,N
hourly,2025-04-01T15:11:32Z,2025-04-01T16:11:32Z,9,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,2.41,22,mph,N
hourly,2025-04-01T15:11:32Z,2025-04-01T16:11:32Z,9,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,5.450000000000003,10,mph,WNW
hourly,2025-04-01T15:11:32Z,2025-04-01T16:11:32Z,9,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,4.579999999999998,16,mph,NNW
hourly,2025-04-01T15:11:32Z,2025-04-01T16:11:32Z,9,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.93,20,mph,WNW
hourly,2025-04-01T15:11:32Z,2025-04-01T16:11:32Z,9,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.789999999999999,16,mph,NNW
hourly,2025-04-01T15:11:38Z,2025-04-01T16:11:38Z,160,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,4.450000000000003,17,mph,N
hourly,2025-04-01T15:11:38Z,2025-04-01T16:11:38Z,160,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,7.039999999999999,9,mph,NE
hourly,2025-04-01T15:11:38Z,2025-04-01T16:11:38Z,160,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,6.390000000000001,15,mph,NW
hourly,2025-04-01T15:11:38Z,2025-04-01T16:11:38Z,160,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,8.54,15,mph,NW
hourly,2025-04-01T15:11:38Z,2025-04-01T16:11:38Z,160,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,9.590000000000003,10,mph,N
hourly,2025-04-01T15:11:43Z,2025-04-01T16:11:43Z,224,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,3.5900000000000034,18,mph,N
hourly,2025-04-01T15:11:43Z,2025-04-01T16:11:43Z,224,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,6.350000000000001,7,mph,NW
hourly,2025-04-01T15:11:43Z,2025-04-01T16:11:43Z,224,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,4.57,14,mph,NW
hourly,2025-04-01T15:11:43Z,2025-04-01T16:11:43Z,224,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,7.16,16,mph,NW
hourly,2025-04-01T15:11:43Z,2025-04-01T16:11:43Z,224,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.600000000000001,12,mph,N
hourly,2025-04-01T15:11:45Z,2025-04-01T16:11:02Z,159,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,3.219999999999999,16,mph,N
hourly,2025-04-01T15:11:45Z,2025-04-01T16:11:02Z,159,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,5.510000000000002,9,mph,N
hourly,2025-04-01T15:11:45Z,2025-04-01T16:11:02Z,159,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,4.75,16,mph,NW
hourly,2025-04-01T15:11:45Z,2025-04-01T16:11:02Z,159,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.440000000000001,16,mph,NW
hourly,2025-04-01T15:11:45Z,2025-04-01T16:11:02Z,159,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,7.09,12,mph,NW
hourly,2025-04-01T15:11:49Z,2025-04-01T16:11:30Z,10,2025-04-02,2025-04-02T22:00:00Z,2025-04-02T23:00:00Z,4.82,16,mph,N
hourly,2025-04-01T15:11:49Z,2025-04-01T16:11:30Z,10,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,8.32,9,mph,SE
hourly,2025-04-01T15:11:49Z,2025-04-01T16:11:30Z,10,2025-04-04,2025-04-04T23:00:00Z,2025-04-05T00:00:00Z,6.859999999999999,15,mph,N
hourly,2025-04-01T15:11:49Z,2025-04-01T16:11:30Z,10,2025-04-05,2025-04-05T22:00:00Z,2025-04-05T23:00:00Z,10.240000000000002,14,mph,NW
hourly,2025-04-01T15:11:49Z,2025-04-01T16:11:30Z,10,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,10.969999999999999,10,mph,N
hourly,2025-04-01T15:11:53Z,2025-04-01T16:11:02Z,229,2025-04-02,2025-04-02T22:00:00Z,2025-04-02T23:00:00Z,0.8800000000000026,18,mph,NW
hourly,2025-04-01T15:11:53Z,2025-04-01T16:11:02Z,229,2025-04-03,2025-04-03T20:00:00Z,2025-04-03T21:00:00Z,2.1000000000000014,7,mph,WNW
hourly,2025-04-01T15:11:53Z,2025-04-01T16:11:02Z,229,2025-04-04,2025-04-04T20:00:00Z,2025-04-04T21:00:00Z,3.490000000000002,8,mph,NNW
hourly,2025-04-01T15:11:53Z,2025-04-01T16:11:02Z,229,2025-04-05,2025-04-05T20:00:00Z,2025-04-05T21:00:00Z,5.520000000000003,16,mph,NW
hourly,2025-04-01T15:11:53Z,2025-04-01T16:11:02Z,229,2025-04-06,2025-04-06T20:00:00Z,2025-04-06T21:00:00Z,6.16,18,mph,NNW
hourly,2025-04-01T15:11:54Z,2025-04-01T16:11:54Z,118,2025-04-02,2025-04-02T22:00:00Z,2025-04-02T23:00:00Z,2.289999999999999,15,mph,S
hourly,2025-04-01T15:11:54Z,2025-04-01T16:11:54Z,118,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,4.509999999999998,10,mph,WNW
hourly,2025-04-01T15:11:54Z,2025-04-01T16:11:54Z,118,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,6.259999999999998,5,mph,N
hourly,2025-04-01T15:11:54Z,2025-04-01T16:11:54Z,118,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,7.689999999999998,15,mph,NNW
hourly,2025-04-01T15:11:54Z,2025-04-01T16:11:54Z,118,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,8.060000000000002,15,mph,NNW
hourly,2025-04-01T15:11:58Z,2025-04-01T16:11:58Z,56,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,2.7699999999999996,18,mph,N
hourly,2025-04-01T15:11:58Z,2025-04-01T16:11:58Z,56,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,5.760000000000002,8,mph,N
hourly,2025-04-01T15:11:58Z,2025-04-01T16:11:58Z,56,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,3.9400000000000013,15,mph,N
hourly,2025-04-01T15:11:58Z,2025-04-01T16:11:58Z,56,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.399999999999999,16,mph,NW
hourly,2025-04-01T15:11:58Z,2025-04-01T16:11:58Z,56,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,6.879999999999999,12,mph,N
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,165,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,4.450000000000003,18,mph,N
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,165,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,7.310000000000002,7,mph,NE
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,165,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,5.859999999999999,17,mph,NW
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,165,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,8.049999999999997,17,mph,NW
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,165,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,8.689999999999998,12,mph,N
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,12,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,2.8200000000000003,17,mph,N
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,12,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,6.350000000000001,8,mph,NW
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,12,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,4.91,14,mph,NW
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,12,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.719999999999999,15,mph,NW
hourly,2025-04-01T15:11:59Z,2025-04-01T16:11:59Z,12,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.350000000000001,12,mph,N
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,58,2025-04-02,2025-04-02T20:00:00Z,2025-04-02T21:00:00Z,3.259999999999998,16,mph,N
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,58,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,6.27,9,mph,N
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,58,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,5.449999999999999,15,mph,NW
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,58,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,7.23,16,mph,NW
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,58,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,7.460000000000001,12,mph,N
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,13,2025-04-02,2025-04-02T23:00:00Z,2025-04-03T00:00:00Z,3.960000000000001,20,mph,NW
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,13,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,6.909999999999997,13,mph,SE
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,13,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,5.460000000000001,20,mph,N
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,13,2025-04-05,2025-04-05T22:00:00Z,2025-04-05T23:00:00Z,9.329999999999998,16,mph,NW
hourly,2025-04-01T15:12:00Z,2025-04-01T16:12:00Z,13,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,10.399999999999999,14,mph,N
hourly,2025-04-01T15:12:02Z,2025-04-01T16:12:02Z,84,2025-04-02,2025-04-02T20:00:00Z,2025-04-02T21:00:00Z,1.5799999999999983,20,mph,N
hourly,2025-04-01T15:12:02Z,2025-04-01T16:12:02Z,84,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,2.8200000000000003,7,mph,W
hourly,2025-04-01T15:12:02Z,2025-04-01T16:12:02Z,84,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,3.219999999999999,12,mph,N
hourly,2025-04-01T15:12:02Z,2025-04-01T16:12:02Z,84,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,5.799999999999997,16,mph,WNW
hourly,2025-04-01T15:12:02Z,2025-04-01T16:12:02Z,84,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.43,16,mph,NNW
hourly,2025-04-01T15:12:05Z,2025-04-01T16:11:18Z,218,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,1.9600000000000009,22,mph,N
hourly,2025-04-01T15:12:05Z,2025-04-01T16:11:18Z,218,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,4.890000000000001,7,mph,W
hourly,2025-04-01T15:12:05Z,2025-04-01T16:11:18Z,218,2025-04-04,2025-04-04T20:00:00Z,2025-04-04T21:00:00Z,3.5,14,mph,N
hourly,2025-04-01T15:12:05Z,2025-04-01T16:11:18Z,218,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.219999999999999,18,mph,NW
hourly,2025-04-01T15:12:05Z,2025-04-01T16:11:18Z,218,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,5.879999999999999,16,mph,N
hourly,2025-04-01T15:12:06Z,2025-04-01T16:12:06Z,179,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,2.41,23,mph,N
hourly,2025-04-01T15:12:06Z,2025-04-01T16:12:06Z,179,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,5.829999999999998,12,mph,WNW
hourly,2025-04-01T15:12:06Z,2025-04-01T16:12:06Z,179,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,5.689999999999998,15,mph,NNW
hourly,2025-04-01T15:12:06Z,2025-04-01T16:12:06Z,179,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.890000000000001,21,mph,NW
hourly,2025-04-01T15:12:06Z,2025-04-01T16:12:06Z,179,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,7.280000000000001,20,mph,NNW
hourly,2025-04-01T15:12:28Z,2025-04-01T16:12:06Z,7,2025-04-02,2025-04-02T23:00:00Z,2025-04-03T00:00:00Z,4.960000000000001,13,mph,N
hourly,2025-04-01T15:12:28Z,2025-04-01T16:12:06Z,7,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,5.640000000000001,9,mph,NE
hourly,2025-04-01T15:12:28Z,2025-04-01T16:12:06Z,7,2025-04-04,2025-04-04T23:00:00Z,2025-04-05T00:00:00Z,7,14,mph,NNW
hourly,2025-04-01T15:12:28Z,2025-04-01T16:12:06Z,7,2025-04-05,2025-04-05T23:00:00Z,2025-04-06T00:00:00Z,8.810000000000002,14,mph,WNW
hourly,2025-04-01T15:12:28Z,2025-04-01T16:12:06Z,7,2025-04-06,2025-04-06T23:00:00Z,2025-04-07T00:00:00Z,9.600000000000001,9,mph,NNW
hourly,2025-04-01T15:12:28Z,2025-04-01T16:11:30Z,186,2025-04-02,2025-04-02T22:00:00Z,2025-04-02T23:00:00Z,5.740000000000002,15,mph,N
hourly,2025-04-01T15:12:28Z,2025-04-01T16:11:30Z,186,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,7,9,mph,NE
hourly,2025-04-01T15:12:28Z,2025-04-01T16:11:30Z,186,2025-04-04,2025-04-04T22:00:00Z,2025-04-04T23:00:00Z,6.920000000000002,15,mph,NW
hourly,2025-04-01T15:12:28Z,2025-04-01T16:11:30Z,186,2025-04-05,2025-04-05T22:00:00Z,2025-04-05T23:00:00Z,9.39,14,mph,NW
hourly,2025-04-01T15:12:28Z,2025-04-01T16:11:30Z,186,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,9.990000000000002,9,mph,N
hourly,2025-04-01T15:12:37Z,2025-04-01T16:12:20Z,87,2025-04-02,2025-04-02T11:00:00Z,2025-04-02T12:00:00Z,1.120000000000001,22,mph,E
hourly,2025-04-01T15:12:37Z,2025-04-01T16:12:20Z,87,2025-04-03,2025-04-03T22:00:00Z,2025-04-03T23:00:00Z,1.8500000000000014,6,mph,W
hourly,2025-04-01T15:12:37Z,2025-04-01T16:12:20Z,87,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,3.6000000000000014,10,mph,NW
hourly,2025-04-01T15:12:37Z,2025-04-01T16:12:20Z,87,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,5.3699999999999974,17,mph,NW
hourly,2025-04-01T15:12:37Z,2025-04-01T16:12:20Z,87,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.120000000000001,20,mph,NNW
hourly,2025-04-01T15:12:38Z,2025-04-01T16:12:38Z,14,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,2.759999999999998,22,mph,N
hourly,2025-04-01T15:12:38Z,2025-04-01T16:12:38Z,14,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,5.43,12,mph,NW
hourly,2025-04-01T15:12:38Z,2025-04-01T16:12:38Z,14,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,4.649999999999999,15,mph,NNW
hourly,2025-04-01T15:12:38Z,2025-04-01T16:12:38Z,14,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,7.090000000000003,20,mph,NW
hourly,2025-04-01T15:12:38Z,2025-04-01T16:12:38Z,14,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,6.27,17,mph,NNW
hourly,2025-04-01T15:12:39Z,2025-04-01T16:12:39Z,15,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,1.5899999999999999,22,mph,N
hourly,2025-04-01T15:12:39Z,2025-04-01T16:12:39Z,15,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,4.1199999999999974,8,mph,W
hourly,2025-04-01T15:12:39Z,2025-04-01T16:12:39Z,15,2025-04-04,2025-04-04T19:00:00Z,2025-04-04T20:00:00Z,3.3500000000000014,14,mph,NW
hourly,2025-04-01T15:12:39Z,2025-04-01T16:12:39Z,15,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,6.100000000000001,18,mph,NW
