forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T13:00:00Z,2025-10-03T14:00:00Z,8 AM,9 AM,6,8,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T14:00:00Z,2025-10-03T15:00:00Z,9 AM,10 AM,7.2,9,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T15:00:00Z,2025-10-03T16:00:00Z,10 AM,11 AM,9,10,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T16:00:00Z,2025-10-03T17:00:00Z,11 AM,12 PM,10.9,12,mph,SSE
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T17:00:00Z,2025-10-03T18:00:00Z,12 PM,1 PM,13.1,14,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T18:00:00Z,2025-10-03T19:00:00Z,1 PM,2 PM,15.1,15,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T19:00:00Z,2025-10-03T20:00:00Z,2 PM,3 PM,16.5,16,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T20:00:00Z,2025-10-03T21:00:00Z,3 PM,4 PM,17.4,16,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T21:00:00Z,2025-10-03T22:00:00Z,4 PM,5 PM,18,16,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-03,2025-10-03T22:00:00Z,2025-10-03T23:00:00Z,5 PM,6 PM,17.4,16,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T11:00:00Z,2025-10-04T12:00:00Z,6 AM,7 AM,5.8,10,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T12:00:00Z,2025-10-04T13:00:00Z,7 AM,8 AM,5.5,10,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T13:00:00Z,2025-10-04T14:00:00Z,8 AM,9 AM,5.9,12,mph,S
