forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-09-12T08:36:15Z,2025-09-12T08:51:15Z,174,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,11.9,16,mph,SSE
hourly,2025-09-12T08:36:15Z,2025-09-12T08:51:15Z,174,America/Chicago,2025-09-15,2025-09-15T20:00:00Z,2025-09-15T21:00:00Z,3 PM,4 PM,10.2,22,mph,S
hourly,2025-09-12T08:36:15Z,2025-09-12T08:51:15Z,174,America/Chicago,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,3 PM,4 PM,13,12,mph,SSW
hourly,2025-09-12T08:36:15Z,2025-09-12T08:51:15Z,174,America/Chicago,2025-09-17,2025-09-17T20:00:00Z,2025-09-17T21:00:00Z,3 PM,4 PM,6.6,10,mph,N
hourly,2025-09-12T08:36:17Z,2025-09-12T08:51:17Z,142,America/Denver,2025-09-12,2025-09-12T20:00:00Z,2025-09-12T21:00:00Z,2 PM,3 PM,15.5,9,mph,NE
hourly,2025-09-12T08:36:17Z,2025-09-12T08:51:17Z,142,America/Denver,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,3 PM,4 PM,4.8,10,mph,E
hourly,2025-09-12T08:36:17Z,2025-09-12T08:51:17Z,142,America/Denver,2025-09-14,2025-09-14T20:00:00Z,2025-09-14T21:00:00Z,2 PM,3 PM,6,10,mph,W
hourly,2025-09-12T08:36:17Z,2025-09-12T08:51:17Z,142,America/Denver,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,3 PM,4 PM,15.5,10,mph,SW
hourly,2025-09-12T08:36:17Z,2025-09-12T08:51:17Z,142,America/Denver,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,3 PM,4 PM,12.1,12,mph,N
hourly,2025-09-12T08:36:17Z,2025-09-12T08:51:17Z,142,America/Denver,2025-09-17,2025-09-17T20:00:00Z,2025-09-17T21:00:00Z,2 PM,3 PM,9.2,12,mph,N
hourly,2025-09-12T08:36:20Z,2025-09-12T08:51:20Z,164,America/Chicago,2025-09-12,2025-09-12T21:00:00Z,2025-09-12T22:00:00Z,4 PM,5 PM,12.9,8,mph,NE
hourly,2025-09-12T08:36:20Z,2025-09-12T08:51:20Z,164,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,2.7,10,mph,E
hourly,2025-09-12T08:36:20Z,2025-09-12T08:51:20Z,164,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6.5,7,mph,SW
hourly,2025-09-12T08:36:20Z,2025-09-12T08:51:20Z,164,America/Chicago,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,4 PM,5 PM,11,10,mph,W
hourly,2025-09-12T08:36:20Z,2025-09-12T08:51:20Z,164,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,12,10,mph,N
hourly,2025-09-12T08:36:20Z,2025-09-12T08:51:20Z,164,America/Chicago,2025-09-17,2025-09-17T22:00:00Z,2025-09-17T23:00:00Z,5 PM,6 PM,9.5,8,mph,N
hourly,2025-09-12T08:36:22Z,2025-09-12T08:51:22Z,138,America/Chicago,2025-09-12,2025-09-12T21:00:00Z,2025-09-12T22:00:00Z,4 PM,5 PM,11.8,10,mph,NE
hourly,2025-09-12T08:36:22Z,2025-09-12T08:51:22Z,138,America/Chicago,2025-09-13,2025-09-13T22:00:00Z,2025-09-13T23:00:00Z,5 PM,6 PM,1.6,13,mph,E
hourly,2025-09-12T08:36:22Z,2025-09-12T08:51:22Z,138,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6,9,mph,SW
hourly,2025-09-12T08:36:22Z,2025-09-12T08:51:22Z,138,America/Chicago,2025-09-15,2025-09-15T22:00:00Z,2025-09-15T23:00:00Z,5 PM,6 PM,10.6,10,mph,W
hourly,2025-09-12T08:36:22Z,2025-09-12T08:51:22Z,138,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,11,13,mph,NW
hourly,2025-09-12T08:36:22Z,2025-09-12T08:51:22Z,138,America/Chicago,2025-09-17,2025-09-17T22:00:00Z,2025-09-17T23:00:00Z,5 PM,6 PM,9.5,9,mph,N
hourly,2025-09-12T08:36:23Z,2025-09-12T08:51:23Z,161,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,7.7,9,mph,E
