State,County,FIPS,MapDate,DSCI
ND,Griggs County,38039,20250211,21
ND,Griggs County,38039,20250218,21
ND,Griggs County,38039,20250225,21
ND,Hettinger County,38041,20241231,271
ND,Hettinger County,38041,20250107,271
ND,Hettinger County,38041,20250114,271
ND,Hettinger County,38041,20250121,271
ND,Hettinger County,38041,20250128,257
ND,Hettinger County,38041,20250204,257
ND,Hettinger County,38041,20250211,257
ND,Hettinger County,38041,20250218,257
ND,Hettinger County,38041,20250225,257
ND,Kidder County,38043,20241231,9
ND,Kidder County,38043,20250107,9
ND,Kidder County,38043,20250114,9
ND,Kidder County,38043,20250121,9
ND,Kidder County,38043,20250128,9
ND,Kidder County,38043,20250204,9
ND,Kidder County,38043,20250211,9
ND,Kidder County,38043,20250218,9
ND,Kidder County,38043,20250225,9
ND,LaMoure County,38045,20241231,194
ND,LaMoure County,38045,20250107,194
ND,LaMoure County,38045,20250114,194
ND,LaMoure County,38045,20250121,194
ND,LaMoure County,38045,20250128,194
ND,LaMoure County,38045,20250204,194
ND,LaMoure County,38045,20250211,194
ND,LaMoure County,38045,20250218,194
ND,LaMoure County,38045,20250225,194
ND,Logan County,38047,20241231,139
ND,Logan County,38047,20250107,139
ND,Logan County,38047,20250114,139
ND,Logan County,38047,20250121,139
ND,Logan County,38047,20250128,139
ND,Logan County,38047,20250204,139
ND,Logan County,38047,20250211,139
ND,Logan County,38047,20250218,139
ND,Logan County,38047,20250225,139
ND,McHenry County,38049,20241231,17
ND,McHenry County,38049,20250107,17
ND,McHenry County,38049,20250114,17
ND,McHenry County,38049,20250121,17
ND,McHenry County,38049,20250128,17
ND,McHenry County,38049,20250204,17
ND,McHenry County,38049,20250211,17
ND,McHenry County,38049,20250218,17
ND,McHenry County,38049,20250225,17
ND,McIntosh County,38051,20241231,200
ND,McIntosh County,38051,20250107,200
ND,McIntosh County,38051,20250114,200
ND,McIntosh County,38051,20250121,200
ND,McIntosh County,38051,20250128,200
ND,McIntosh County,38051,20250204,200
ND,McIntosh County,38051,20250211,200
ND,McIntosh County,38051,20250218,200
ND,McIntosh County,38051,20250225,200
ND,McKenzie County,38053,20241231,389
ND,McKenzie County,38053,20250107,389
ND,McKenzie County,38053,20250114,389
ND,McKenzie County,38053,20250121,389
ND,McKenzie County,38053,20250128,385
ND,McKenzie County,38053,20250204,385
ND,McKenzie County,38053,20250211,385
ND,McKenzie County,38053,20250218,385
ND,McKenzie County,38053,20250225,385
ND,McLean County,38055,20241231,96
ND,McLean County,38055,20250107,96
ND,McLean County,38055,20250114,96
ND,McLean County,38055,20250121,96
ND,McLean County,38055,20250128,96
ND,McLean County,38055,20250204,96
ND,McLean County,38055,20250211,96
ND,McLean County,38055,20250218,96
ND,McLean County,38055,20250225,96
ND,Mercer County,38057,20241231,206
ND,Mercer County,38057,20250107,206
ND,Mercer County,38057,20250114,206
ND,Mercer County,38057,20250121,206
ND,Mercer County,38057,20250128,206
ND,Mercer County,38057,20250204,206
ND,Mercer County,38057,20250211,206
ND,Mercer County,38057,20250218,206
ND,Mercer County,38057,20250225,206
ND,Morton County,38059,20241231,190
ND,Morton County,38059,20250107,190
ND,Morton County,38059,20250114,190
ND,Morton County,38059,20250121,190
ND,Morton County,38059,20250128,190
ND,Morton County,38059,20250204,190
ND,Morton County,38059,20250211,190
ND,Morton County,38059,20250218,190
ND,Morton County,38059,20250225,190
ND,Mountrail County,38061,20241231,287
ND,Mountrail County,38061,20250107,287
ND,Mountrail County,38061,20250114,287
ND,Mountrail County,38061,20250121,287
